imdb_id,star,director,actor1,actor2,actor3,genre,runtime,user,critc,budget
tt5324004,6.9,Rudolf Havlik,Ondrej Vetchý,Anna Geislerová,Ema Svábenská,Comedy,,no data,6,0
tt5705058,5.6,Marie Noëlle,Karolina Gruszka,Arieh Worthalter,Charles Berling,Biography,95,9,28,0
tt6086614,6.9,Sabine Krayenbühl,Tilda Swinton,Michael Higgs,Eric Loscheider,Documentary,95,4,21,0
tt5320892,7.1,Marek Benes,,,,Animation,80,no data,1,0
tt4809458,6.6,Willem Gerritsen,Niek Roozen,Martijn van Eijzeren,Simon Kindermans,Comedy,,4,4,0
tt5128712,7,Chi Fat Chan,Yiu-Sing Lam,Kai Chi Liu,Hedwig Tam,Action,95,1,8,0
tt5878952,4.5,Tomás Svoboda,Bolek Polívka,David Novotný,Lukás Latinák,Comedy,,no data,3,0
tt4757160,5.7,Tomás Vorel,Jakub Kohák,Eva Holubová,Filip Blazek,Comedy,,1,6,0
tt6739646,7.4,Adrian Buitenhuis,Heath Ledger,Ben Harper,Kim Ledger,Documentary,90,15,28,0
tt0758742,7.8,Shûsuke Kaneko,Tatsuya Fujiwara,Ken'ichi Matsuyama,Asaka Seto,Crime,126,90,75,20000000
tt5078354,5.9,Danièle Thompson,Guillaume Canet,Guillaume Gallienne,Alice Pol,Biography,117,7,61,0
tt5487524,4.3,Emilis Velyvis,Ivan Yankovskiy,Leonid Yarmolnik,Lyubov Aksyonova,Action,97,4,1,3800000
tt4680568,4.5,Tim Ferguson,Xavier Samuel,Morgan Griffin,Tessa James,Comedy,92,5,18,0
tt1714917,7.2,Jim Jarmusch,Iggy Pop,Ron Asheton,Scott Asheton,Documentary,108,16,95,0
tt7351178,5.6,Dmitriy Suvorov,Svetlana Khodchenkova,Olga Kuzmina,Ekaterina Vilkova,Comedy,,no data,no data,0
tt3794028,6.7,Nicole Garcia,Marion Cotillard,Alex Brendemühl,Louis Garrel,Drama,120,17,98,10300000
tt5477608,6.6,Sujoy Ghosh,Vidya Balan,Arjun Rampal,Jugal Hansraj,Mystery,129,23,17,0
tt5534122,4.4,Doga Can Anafarta,Busra Cubukcuoglu,Dogus Gun Demir,Funda Ersin,Horror,,no data,no data,0
tt6150988,5.3,Sheng Tao,Ruilin Liu,Kimmy Fei Tong,Chao Liang,Action,95,no data,no data,0
tt3847656,2.8,Vladimír Michálek,Krystof Hádek,Vojtech Kotek,Jakub Prachar,Comedy,,no data,6,0
tt4299300,7.1,Marc Rothemund,Kostja Ullmann,Jacob Matschenz,Anna Maria Mühe,Biography,111,7,27,0
tt6082222,5.1,Caner zyurtlu,Onur Buldu,Sebnem Bozoklu,Sahin Irmak,Comedy,,no data,1,0
tt5565152,6.9,Kürsat Kizbaz,Furkan Palali,Ali Sürmeli,Altan Akisik,Drama,115,no data,no data,0
tt5108476,3.8,Aditya Chopra,Ranveer Singh,Vaani Kapoor,Akarsh Khurana,Comedy,132,52,21,15500000
tt6146394,7.1,Gregory Doran,Romayne Andrews,Antony Byrne,Eke Chukwu,Drama,180,no data,1,0
tt5988370,1.8,Hüdaverdi Yavuz,Orhan Aydin,zlem Balci,Volkan Basaran,Biography,108,40,13,8000000
tt2321405,7.8,Claude Barras,Gaspard Schlatter,Sixtine Murat,Paulin Jaccoud,Animation,66,35,174,8000000
tt6448192,7.2,no data,no data,,,no data,,1,no data,0
tt5286268,5.5,Pascal Bourdiaux,Jean Reno,Reem Kherici,Camille Chamoux,Comedy,91,3,5,0
tt3228088,4.4,Aaron Woodley,Jace Norman,Jessica Biel,Patrick Stewart,Animation,97,14,15,0
tt4687276,5.4,Ross Patterson,Sean Astin,Danny Trejo,William Shatner,Comedy,89,67,2,0
tt1724970,5.3,Liam O'Donnell,Frank Grillo,Bojana Novakovic,Jonny Weston,Action,105,119,68,20000000
tt0469897,6.4,Katherine Dieckmann,Paul Rudd,Ken Marino,Maura Tierney,Comedy,96,15,23,0
tt4513316,6.6,Maggie Betts,Melissa Leo,Lisa Stewart,Alyssa Brindley,Drama,123,22,53,0
tt6146080,4.8,Massimo Cappelli,Andrea Di Maria,Antonio Guerriero,Sandra Milo,Comedy,,no data,no data,0
tt4911996,6.3,Ivan Sen,Aaron Pedersen,Alex Russell,Jacki Weaver,Crime,109,24,41,0
tt4993964,5.7,Nicolas Benamou,José Garcia,André Dussollier,Caroline Vigneaux,Action,91,2,10,0
tt2096673,8.2,Pete Docter,Amy Poehler,Bill Hader,Lewis Black,Animation,94,877,567,175000000
tt4632316,8.4,Clay Tweel,Steve Gleason,Mike Gleason,Scott Fujita,Documentary,110,17,44,0
tt4869974,5.5,Bobby Boermans,Don Alphonso,Maru Asmelash,Valentijn Avé,Comedy,95,no data,3,0
tt5298180,5.1,Araik Oganesyan,Nikita Abdulov,Sergey Belogolovtsev,Olga Buzova,Comedy,102,no data,no data,0
tt4144190,5.9,Todd Solondz,Greta Gerwig,Keaton Nigel Cooke,Tracy Letts,Comedy,88,78,138,0
tt6085482,6.7,Michele Placido,Cristiana Capotondi,Fiorella Mannoia,Maria Nazionale,Drama,89,1,7,0
tt5460276,7.1,Sanjay Gupta,Hrithik Roshan,Yami Gautam,Ronit Roy,Action,139,130,34,5200000
tt5614612,6.2,Martin Hodara,Leonardo Sbaraglia,Laia Costa,Ricardo Darín,Crime,90,10,15,4000000
tt5221584,7.6,Kleber Mendonça Filho,Sônia Braga,Maeve Jinkings,Irandhir Santos,Drama,140,31,154,762241
tt6266984,4.9,mer Ugur,Ufuk zkan,Firat Tanis,Bora Akkas,Comedy,,no data,1,0
tt4106376,5.4,Steven Quale,J.K. Simmons,Sullivan Stapleton,Charlie Bewley,Action,105,38,25,0
tt4862478,7.1,Taryn Brumfitt,Taryn Brumfitt,Renee Airya,Jade Beall,Documentary,90,7,20,0
tt5112054,5.2,Tessa Schram,Tim Akkerman,Youp Alblas,Binck Bakker,Drama,,1,2,0
tt5827496,6.3,Neal Wu,Zijian Dong,Cherry Ngan,Po-Hung Lin,Comedy,103,2,4,0
tt3397160,6.7,Maria Schrader,Tómas Lemarquis,Barbara Sukowa,Nahuel Pérez Biscayart,Drama,106,7,53,0
tt3576728,8.6,Khurram H. Alavi,Adewale Akinnuoye-Agbaje,Ian McShane,China Anne McClain,Animation,105,71,31,30000000
tt5193790,6.6,Christopher Menaul,Jenny Seagrove,John Hannah,Julian Kostov,Biography,98,6,8,0
tt6229652,5.3,agan Irmak,Suzan Aksoy,Güngör Bayrak,zge Borak,Comedy,,no data,2,0
tt3082854,6.4,Thomas Vinterberg,Fares Fares,Ulrich Thomsen,Trine Dyrholm,Drama,111,13,131,0
tt5275828,7.1,Werner Herzog,Elon Musk,Lawrence Krauss,Lucianne Walkowicz,Documentary,98,31,102,0
tt2898306,7.7,Ron Davis,Harry DeLeyer,Harriet DeLeyer,Andre DeLeyer,Documentary,84,8,9,0
tt0042040,7.3,Alexander Mackendrick,Basil Radford,Joan Greenwood,Catherine Lacey,Comedy,82,34,35,0
tt6830780,6.1,Kim Joon-Sung,Kyung-gu Sol,Soo Go,Hye-jeong Kang,Sci-Fi,101,5,9,5000000
tt5029776,5.7,Ute von Münchow-Pohl,Noah Levi,Senta Berger,Friedrich von Thun,Animation,79,no data,23,0
tt6857354,4.4,Sa-li Mo,Luoxi Liu,Yichen Liu,Tevin,no data,90,no data,no data,0
tt4986134,6.6,Danny Strong,Nicholas Hoult,Kevin Spacey,Victor Garber,Biography,106,23,45,0
tt4353996,7.2,Erik Poppe,Jesper Christensen,Anders Baasmo Christiansen,Karl Markovics,Biography,133,19,59,7500000
tt0080640,6,Michele Massimo Tarantini,Renzo Montagnani,Verónica Miriel,Olga Karlatos,Comedy,,no data,no data,0
tt4196848,7.6,Bruce Beresford,Eddie Murphy,Britt Robertson,Natascha McElhone,Comedy,104,117,32,8000000
tt4480494,6.3,Inés París,Belén Rueda,Diego Peretti,Eduard Fernández,Comedy,94,1,7,0
tt5775302,3.3,Zita Marinovová,Marie Dolezalová,Adéla Gondíková,Ladislav Hampl,Comedy,,no data,6,0
tt4428762,5.9,Pierre Godeau,Adèle Exarchopoulos,Guillaume Gallienne,Stéphanie Cléau,Biography,110,4,12,0
tt3708886,5.8,John Michael McDonagh,Alexander Skarsgård,Michael Peña,Theo James,Action,98,66,123,0
tt5660320,7.8,Bridget Caldwell,Catherine Tate,David Tennant,Akala,Biography,120,2,no data,0
tt5606336,7,Barbara Willis Sweete,Paolo Carignani,Renée Fleming,Nina Stemme,Musical,141,2,no data,0
tt5031998,6.8,Aleksey Krasovskiy,Konstantin Khabenskiy,Polina Agureeva,Kseniya Buravskaya,Drama,75,1,9,0
tt1781058,5.8,Craig Johnson,Woody Harrelson,Sandy Oian-Thomas,Shaun Brown,Comedy,94,48,101,0
tt4864932,5.2,Sabir Khan,Shraddha Kapoor,Tiger Shroff,Sudheer Babu Posani,Action,133,43,20,0
tt5492054,5,Fred Olen Ray,Jamie Luner,Steven Brand,Audrey Whitby,Action,85,5,2,0
tt6569546,4.2,Sergey Ginzburg,Konstantin Kryukov,Mikhail Porechenkov,Aglaya Shilovskaya,Action,90,no data,4,0
tt5440700,7.2,Atlee Kumar,Joseph Vijay,Samantha Ruth Prabhu,Amy Jackson,Action,157,54,12,0
tt6487050,8.6,Judd Apatow,The Avett Brothers,Scott Avett,Seth Avett,Documentary,107,3,4,0
tt3622110,5.1,Caradog W. James,Katee Sackhoff,Lucy Boynton,Richard Mylan,Horror,93,49,80,0
tt5628012,7.2,Je-yong Lee,Yuh Jung Youn,Hyun-jun Choi,Mu-song Jeon,Drama,110,1,14,0
tt5528996,6.5,Pieter van Rijn,Beau Schneider,Stijn van der Plas,Nienke de la Rive Box,Adventure,77,no data,1,0
tt5195412,6.4,Robin Swicord,Bryan Cranston,Jennifer Garner,Victoria Bruno,Drama,106,68,76,0
tt6446772,5.3,Kan Ma,Godfrey Gao,Shuilin Wang,Xiaofei Qin,no data,95,no data,no data,0
tt5230166,4.7,Cosimo Alem,Diego Germini,Irene Vetere,Jacopo Olmo Antinori,Drama,,1,4,0
tt3467914,6.1,Jason Connery,Sam Neill,Peter Mullan,Ophelia Lovibond,Biography,117,12,38,0
tt6752848,7.4,Alexandra Dean,Nino Amareno,Charles Amirkhanian,Jeanine Basinger,Documentary,90,27,52,0
tt5734548,2.6,Tekin Girgin,Dylan Vox,Lara Heller,Hachem Hicham,Action,90,26,2,0
tt5133308,7.1,Rodrigo Grande,Leonardo Sbaraglia,Pablo Echarri,Clara Lago,Crime,120,4,25,0
tt5304874,6.4,Agustí Villaronga,Marcel Borrs,Núria Prims,Oriol Pla,Drama,115,2,9,0
tt4065212,4.6,Gustavo Ron,Aimee Teegarden,Krysta Rodriguez,Griffin Newman,Comedy,100,5,8,10000000
tt4463762,5.2,Sanne Vogel,Georgina Verbaan,Egbert Jan Weeber,Roeland Fernhout,Romance,102,no data,3,0
tt0083233,5.3,Tien-Tai Chen,Hsao Lung,Alice Meyer,Ali Tayler,Action,81,3,4,0
tt5513260,4.7,Henry Yu,Jeremy Shada,Jon Heder,Melissa Sturm,Animation,84,13,12,0
tt5526660,3.1,Dmitriy Suvorov,Alex Sokolovsky,Sabina Akhmedova,Sergey Badichkin,Comedy,80,no data,1,0
tt3551042,6,Hasan Karacadag,Michael Madsen,Stephen Baldwin,Brianne Davis,Horror,132,12,2,1100000
tt6705612,6.6,Baljit Singh Deo,Gippy Grewal,Sonam Bajwa,Karamjit Anmol,Comedy,137,5,2,1092000
tt4834220,6.5,Matt Murphy,Dean O'Gorman,James Rolleston,Ashleigh Cummings,Action,105,22,23,0
tt5954304,5.4,Manuk Depoyan,Viktor Andrienko,Kate Bristol,Allen Enlow,Animation,85,1,2,0
tt5024766,1.9,Miloslav Halík,Veronika Arichteva,Alzbeta Bartosová,Tomás Boruvka,Comedy,,no data,9,0
tt5753212,7.1,Alper Mestçi,Seda Oguz,zay Fecht,Deniz Gündogdu,Horror,87,no data,1,0
tt4936450,7.4,Cristian Mungiu,Adrian Titieni,Maria Dragus,Lia Bugnar,Crime,127,31,181,2000000
tt3835080,5.1,Rob Zombie,Malcolm McDowell,Richard Brake,Jeff Daniel Phillips,Horror,102,151,211,1500000
